,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
6,31/08/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,Pachuca,0.1,2.3,31,,Pablo Barrera,4-1-4-1,4-2-3-1,Iván López,Match Report,,5,1,23.4,0,0,0,2024,Queretaro,
7,13/09/2024,18:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,1,2,Puebla,0.6,1.6,51,8266,Pablo Barrera,4-2-3-1,04/04/2002,Vicente Arce,Match Report,,11,2,17.3,0,0,0,2024,Queretaro,
8,17/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,1,0,UANL,1.5,1.6,25,,Kevin Escamilla,4-1-4-1,4-2-3-1,Fernando Guerrero,Match Report,,8,2,14.3,0,0,0,2024,Queretaro,
9,20/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,1,0,Atlas,1,1,30,,Kevin Escamilla,4-1-4-1,4-2-3-1,Jesus Lopez,Match Report,,10,3,16.5,1,0,0,2024,Queretaro,
10,27/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,0,0,Necaxa,0.5,1.3,57,7844,Kevin Escamilla,4-1-4-1,4-2-3-1,Jorge Camacho,Match Report,,13,4,21.5,1,0,0,2024,Queretaro,
11,04/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,2,2,Mazatlán,2.1,1.4,55,7773,Kevin Escamilla,4-2-3-1,03/05/2002,Oscar Mejia,Match Report,,21,10,17.8,0,0,0,2024,Queretaro,
12,18/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,0,1,Toluca,0.9,1.9,39,,Kevin Escamilla,4-1-4-1,4-2-3-1,Maximiliano Quintero,Match Report,,14,3,16.4,0,0,0,2024,Queretaro,
0,05/07/2024,16:45,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,1,Puebla,0.5,1.5,59,8331,Bruno Amione,4-2-3-1,4-1-4-1,,Match Report,,6,2,23.8,1,0,0,2024,Santos Laguna,
1,13/07/2024,19:25,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,UNAM,1.1,2.4,49,,Carlos Acevedo,4-2-3-1,4-2-3-1,,Match Report,,8,1,21.3,0,1,1,2024,Santos Laguna,
2,16/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,1,Atlas,0.1,2,50,,Carlos Acevedo,4-2-3-1,4-2-3-1,,Match Report,,2,0,31.3,1,0,0,2024,Santos Laguna,
3,20/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,0,3,UANL,0.8,2,40,,Carlos Acevedo,4-2-3-1,4-2-3-1,,Match Report,,14,6,20.6,2,0,0,2024,Santos Laguna,
4,18/08/2024,17:05,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,1,3,Tijuana,1.4,2.4,30,,Carlos Acevedo,4-2-3-1,4-1-4-1,,Match Report,,7,2,16.5,2,0,0,2024,Santos Laguna,
5,24/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,León,0.8,2.4,40,,Carlos Acevedo,04/04/2002,4-2-3-1,,Match Report,,10,5,21.9,1,0,0,2024,Santos Laguna,
6,01/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,3,2,Necaxa,1.6,3.3,66,,Carlos Acevedo,04/04/2002,4-2-3-1,Guillermo Pacheco,Match Report,,19,7,21.4,1,0,0,2024,Santos Laguna,
7,14/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,0,2,Monterrey,1.7,2.4,46,,Carlos Acevedo,4-2-3-1,4-3-1-2,Erick Miranda,Match Report,,16,5,18.4,4,0,0,2024,Santos Laguna,
8,22/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,2,0,Toluca,1.4,0.9,37,,Carlos Acevedo,4-2-3-1,4-2-3-1,Iván López,Match Report,,7,4,19.4,2,0,0,2024,Santos Laguna,
9,28/09/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,3,Atlético,1,1.6,42,,Carlos Acevedo,4-2-3-1,04/04/2002,Maximiliano Quintero,Match Report,,8,5,17.6,1,0,0,2024,Santos Laguna,
10,06/10/2024,20:05,Liga MX,Apertura 2024 Regular Season,Sun,Home,L,0,2,FC Juárez,0.9,1.5,57,,Carlos Acevedo,4-2-3-1,4-4-1-1,Ismael Lopez,Match Report,,12,4,17.6,0,0,0,2024,Santos Laguna,
11,19/10/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,3,América,0.2,2.8,29,,Carlos Acevedo,4-1-3-2,03/04/2003,Jesus Lopez,Match Report,,5,3,16.4,0,0,0,2024,Santos Laguna,
12,22/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,D,1,1,Pachuca,1.1,1.8,53,6531,Carlos Acevedo,4-2-3-1,4-2-3-1,Daniel Quintero,Match Report,,9,5,21.1,1,0,0,2024,Santos Laguna,
