,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
12,19/10/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,4,2,UANL,1.7,2,44,,Héctor Moreno,04/04/2002,4-2-3-1,Oscar Mejia,Match Report,,6,5,21.1,1,1,1,2024,Monterrey,
13,23/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Home,D,0,0,UNAM,0.8,0.5,64,,Héctor Moreno,04/04/2002,05/03/2002,Adonai Escobedo,Match Report,,16,3,18.7,0,0,0,2024,Monterrey,
0,07/07/2024,13:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,4,1,León,2.1,0.7,50,19950,Lisandro Magallán,4-1-4-1,4-2-3-1,,Match Report,,14,7,17.7,1,0,0,2024,Pumas UNAM,
1,13/07/2024,19:25,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,Santos,2.4,1.1,51,,Lisandro Magallán,4-2-3-1,4-2-3-1,,Match Report,,28,5,16.8,2,0,0,2024,Pumas UNAM,
2,17/07/2024,19:06,Liga MX,Apertura 2024 Regular Season,Wed,Away,W,2,1,FC Juárez,0.5,0.9,50,,Lisandro Magallán,4-2-3-1,4-2-3-1,,Match Report,,12,4,19.3,0,0,0,2024,Pumas UNAM,
3,21/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,2,0,Pachuca,2,0.8,39,,Ulises Rivas,4-2-3-1,4-2-3-1,,Match Report,,8,4,18.6,0,1,1,2024,Pumas UNAM,
4,24/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,2,Atlas,1.9,1,57,,Lisandro Magallán,04/03/2003,4-2-3-1,,Match Report,,18,5,20.8,0,0,1,2024,Pumas UNAM,
5,01/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,L,1,3,UANL,1.5,1.4,55,,Lisandro Magallán,05/04/2001,4-2-3-1,Oscar Mejia,Match Report,,18,5,20.7,1,0,0,2024,Pumas UNAM,
6,13/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,2,Necaxa,1,1.6,72,,Lisandro Magallán,03/04/2003,4-2-3-1,Katia García,Match Report,,8,0,16.8,0,0,0,2024,Pumas UNAM,
7,17/09/2024,21:05,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,1,0,Puebla,2.1,0.3,72,,Lisandro Magallán,03/04/2003,4-2-3-1,Iván López,Match Report,,23,6,17.4,0,0,0,2024,Pumas UNAM,
8,22/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,1,0,Tijuana,2.6,0.2,41,,Lisandro Magallán,05/03/2002,4-2-3-1,Luis Enrique Santander,Match Report,,20,11,15.7,0,0,0,2024,Pumas UNAM,
9,29/09/2024,18:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,W,1,0,América,0.8,0.4,31,23401,Lisandro Magallán,3-4-1-2,3-4-1-2,Fernando Hernández,Match Report,,5,4,22.9,0,0,0,2024,Pumas UNAM,
10,05/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,Toluca,1.2,0.5,35,,Lisandro Magallán,05/03/2002,4-2-3-1,Adonai Escobedo,Match Report,,15,5,24,0,0,0,2024,Pumas UNAM,
11,20/10/2024,13:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,3,0,Atlético,2.3,0.8,45,,Lisandro Magallán,05/03/2002,3-5-1-1,Guillermo Pacheco,Match Report,,16,6,17.8,0,0,0,2024,Pumas UNAM,
12,23/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,D,0,0,Monterrey,0.5,0.8,36,,Lisandro Magallán,05/03/2002,04/04/2002,Adonai Escobedo,Match Report,,8,1,21.3,0,0,0,2024,Pumas UNAM,
0,06/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,1,0,Necaxa,1.7,0.7,56,40371,Guido Pizarro,4-2-3-1,4-2-3-1,,Match Report,,16,3,22.8,1,1,1,2024,UANL,
1,12/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,1,1,Atlas,1.6,0.6,55,,Guido Pizarro,4-2-3-1,4-2-3-1,,Match Report,,15,4,19.5,3,0,0,2024,UANL,
